time,species,colony,origin,dest,trt,origin_dest,0,6,9,18,21,slope,Yloss,Ylossnorm,tank
16-Jan,por,A,HV,HV,heat,HV_HV,0.602,0.31,0.336,0.351,0.35,-0.008,0.252,0.418,A
16-Jan,por,A,HV,HV,cont,HV_HV,0.612,0.507,0.523,0.53,0.528,-0.003,0.085,0.138,B
16-Jan,por,B,HV,HV,heat,HV_HV,0.616,0.418,0.449,0.437,0.386,-0.008,0.23,0.374,A
16-Jan,por,B,HV,HV,cont,HV_HV,0.628,0.529,0.547,0.559,0.565,-0.002,0.064,0.101,B
16-Jan,por,C,HV,HV,heat,HV_HV,0.588,0.392,0.446,0.457,0.32,-0.008,0.268,0.456,A
16-Jan,por,C,HV,HV,cont,HV_HV,0.612,0.532,0.537,0.554,0.554,-0.002,0.058,0.095,B
16-Jan,por,D,HV,HV,heat,HV_HV,0.615,0.438,0.429,0.397,0.279,-0.013,0.337,0.547,C
16-Jan,por,D,HV,HV,cont,HV_HV,0.61,0.539,0.541,0.559,0.529,-0.002,0.081,0.133,D
16-Jan,por,E,HV,HV,heat,HV_HV,0.594,0.425,0.426,0.406,0.363,-0.009,0.232,0.39,C
16-Jan,por,E,HV,HV,cont,HV_HV,0.613,0.536,0.542,0.533,0.532,-0.003,0.081,0.132,D
16-Jan,por,A,LV,HV,heat,LV_HV,0.639,0.438,0.498,0.494,0.494,-0.004,0.146,0.228,A
16-Jan,por,A,LV,HV,cont,LV_HV,0.637,0.515,0.538,0.555,0.545,-0.003,0.093,0.146,B
16-Jan,por,A,LV,LV,heat,LV_LV,0.641,0.458,0.472,0.455,0.452,-0.007,0.189,0.295,A
16-Jan,por,A,LV,LV,cont,LV_LV,0.645,0.558,0.558,0.578,0.562,-0.003,0.083,0.129,B
16-Jan,por,B,LV,LV,heat,LV_LV,0.61,0.316,0.381,0.385,0.375,0.003,0.236,0.386,A
16-Jan,por,B,LV,LV,cont,LV_LV,0.649,0.559,0.547,0.577,0.579,0.001,0.071,0.109,B
16-Jan,por,C,LV,HV,heat,LV_HV,0.607,0.498,0.523,0.503,0.505,-0.004,0.102,0.168,A
