species,colony,time,origin,origin_dest_trt,dest,trt,origin_dest,time_origin_dest_trt,chla,chlaratio,totalchl,totalchlratio,chlloss,tank
gon,F,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,2.275,0.618,3.091,0.629,37.103,A
gon,F,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,3.68,NA,4.914,NA,,B
gon,G,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,2.82,0.862,3.81,0.875,12.469,A
gon,G,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,3.273,NA,4.352,NA,,B
gon,H,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,2.539,0.544,3.418,0.539,46.13,A
gon,H,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,4.664,NA,6.344,NA,,B
gon,I,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,3.441,0.753,4.534,0.759,24.132,C
gon,I,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,4.569,NA,5.977,NA,,D
gon,J,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,3.288,0.943,4.273,0.915,8.481,C
gon,J,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,5.396,NA,7.144,NA,,D
gon,F,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,3.75,0.83,4.995,0.866,13.366,A
gon,F,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,4.519,NA,5.765,NA,,B
gon,F,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,3.52,0.717,4.575,0.683,31.667,A
