count,ASV,sample,origin_dest,origin,dest,time,species,total,prop
0,C15,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.012
14,C15,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.333
0,C15,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.000
0,C15,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.055
0,C15,LVH,LV_HV,LV,HV,16-Jan,gon,30,0.000
0,C15,LVH,LV_LV,LV,LV,16-Jan,gon,44,0.000
6749,C15,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.598
5865,C15,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.400
727,C3,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.056
0,C3,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.000
0,C3,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.022
369,C3,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.136
0,C3,LVH,LV_HV,LV,HV,16-Jan,gon,30,0.000
0,C3,LVH,LV_LV,LV,LV,16-Jan,gon,44,0.000
0,C3,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.039
0,C3,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.026
5005,C40,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.929
0,C40,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.667
43,C40,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.976
3599,C40,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.790
30,C40,LVH,LV_HV,LV,HV,16-Jan,gon,30,1.000
44,C40,LVH,LV_LV,LV,LV,16-Jan,gon,44,1.000
0,C40,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.358
0,C40,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.569
0,C15b,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.000
0,C15b,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.000
0,C15b,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.000
0,C15b,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.000
0,C15b,LVH,LV_HV,LV,HV,16-Jan,gon,30,0.000
0,C15b,LVH,LV_LV,LV,LV,16-Jan,gon,44,0.000
66,C15b,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.002
10,C15b,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.000
0,C1,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.000
0,C1,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.000
0,C1,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.000
0,C1,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.010
0,C1,LVH,LV_HV,LV,HV,16-Jan,gon,30,0.000
0,C1,LVH,LV_LV,LV,LV,16-Jan,gon,44,0.000
0,C1,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.000
0,C1,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.002
0,C21,HVF,HV_HV,HV,HV,15-Jul,gon,5732,0.003
0,C21,LVF,LV_LV,LV,LV,15-Jul,gon,14,0.000
0,C21,MVF,MV_MV,MV,MV,15-Jul,gon,43,0.002
31,C21,HVF,HV_HV,HV,HV,16-Jan,gon,3999,0.010
0,C21,LVH,LV_HV,LV,HV,16-Jan,gon,30,0.000
0,C21,LVH,LV_LV,LV,LV,16-Jan,gon,44,0.000
0,C21,MVF,MV_MV,MV,MV,16-Jan,gon,6815,0.003
0,C21,MVF,MV_HV,MV,HV,16-Jan,gon,5875,0.002
