sample,origin,dest,origin_dest,time,species,C15,C3,C40,C15b,C3e,C39,C1,A4a,C60,B2,C2,C21,C3k
HVF,HV,HV,HV_HV,15-Jul,gon,0,727,5005,0,12,0,0,0,0,0,0,0,0
HVG,HV,HV,HV_HV,15-Jul,gon,0,0,37,0,0,0,0,0,0,0,0,0,0
HVH,HV,HV,HV_HV,15-Jul,gon,0,0,32,0,0,0,0,0,0,0,0,0,0
HVI,HV,HV,HV_HV,15-Jul,gon,0,0,24,0,0,0,0,0,0,0,0,0,0
HVJ,HV,HV,HV_HV,15-Jul,gon,139,351,1750,0,0,0,0,0,0,0,0,32,0
LVF,LV,LV,LV_LV,15-Jul,gon,14,0,0,0,0,0,0,0,0,0,0,0,0
LVH,LV,LV,LV_LV,15-Jul,gon,0,0,57,0,0,0,0,0,0,0,0,0,0
LVJ,LV,LV,LV_LV,15-Jul,gon,0,0,16,0,0,0,0,0,0,0,0,0,0
MVF,MV,MV,MV_MV,15-Jul,gon,0,0,43,0,0,0,0,0,0,0,0,0,0
MVG,MV,MV,MV_MV,15-Jul,gon,0,0,18,0,0,0,0,0,0,0,0,0,0
MVH,MV,MV,MV_MV,15-Jul,gon,0,0,73,0,0,0,0,0,0,0,0,0,0
MVI,MV,MV,MV_MV,15-Jul,gon,0,0,64,0,0,0,0,0,0,0,0,0,0
MVJ,MV,MV,MV_MV,15-Jul,gon,0,607,4841,0,0,0,0,0,0,0,0,57,0
HVF,HV,HV,HV_HV,16-Jan,gon,0,369,3599,0,0,0,0,0,0,0,0,31,0
HVG,HV,HV,HV_HV,16-Jan,gon,0,576,5306,0,0,0,0,0,0,0,0,86,0
HVH,HV,HV,HV_HV,16-Jan,gon,0,489,6132,0,0,0,0,0,0,0,0,31,0
HVI,HV,HV,HV_HV,16-Jan,gon,450,588,1065,0,0,0,109,0,0,0,0,28,0
HVJ,HV,HV,HV_HV,16-Jan,gon,190,392,1946,0,0,0,0,0,0,0,0,22,0
LVH,LV,HV,LV_HV,16-Jan,gon,0,0,30,0,0,0,0,0,0,0,0,0,0
LVH,LV,LV,LV_LV,16-Jan,gon,0,0,44,0,0,0,0,0,0,0,0,0,0
LVI,LV,HV,LV_HV,16-Jan,gon,0,0,33,0,0,0,0,0,0,0,0,0,0
LVI,LV,LV,LV_LV,16-Jan,gon,0,0,57,0,0,0,0,0,0,0,0,0,0
LVJ,LV,LV,LV_LV,16-Jan,gon,0,0,22,0,0,0,0,0,0,0,0,0,0
MVF,MV,MV,MV_MV,16-Jan,gon,6749,0,0,66,0,0,0,0,0,0,0,0,0
MVF,MV,HV,MV_HV,16-Jan,gon,5865,0,0,10,0,0,0,0,0,0,0,0,0
MVG,MV,MV,MV_MV,16-Jan,gon,4495,0,0,0,0,0,0,0,0,0,0,0,0
MVG,MV,HV,MV_HV,16-Jan,gon,3343,0,0,0,0,0,0,0,0,0,0,0,0
MVH,MV,MV,MV_MV,16-Jan,gon,3195,0,0,0,0,0,0,0,0,0,0,0,0
MVH,MV,HV,MV_HV,16-Jan,gon,0,480,3109,0,0,0,42,0,0,0,0,45,0
MVI,MV,MV,MV_MV,16-Jan,gon,0,434,3402,0,0,0,0,0,0,0,0,24,0
MVI,MV,HV,MV_HV,16-Jan,gon,0,0,73,0,0,0,0,0,0,0,0,0,0
MVJ,MV,MV,MV_MV,16-Jan,gon,0,394,4295,0,0,0,0,0,0,0,0,35,0
MVJ,MV,HV,MV_HV,16-Jan,gon,0,0,33,0,0,0,0,0,0,0,0,0,0
