count,otu,sample,origin_dest,origin,dest,time,species,total,prop
5006,C15,HVA,HV_HV,HV,HV,16-Jan,por,5006,1.000
4197,C15,HVB,HV_HV,HV,HV,16-Jan,por,4197,1.000
3420,C15,HVC,HV_HV,HV,HV,16-Jan,por,3420,1.000
6461,C15,HVD,HV_HV,HV,HV,16-Jan,por,6461,1.000
3410,C15,HVE,HV_HV,HV,HV,16-Jan,por,3410,1.000
6026,C15,LVA,LV_LV,LV,LV,16-Jan,por,6026,1.000
6749,C15,LVA,LV_HV,LV,HV,16-Jan,por,6749,1.000
5034,C15,LVB,LV_LV,LV,LV,16-Jan,por,5034,1.000
5806,C15,LVB,LV_HV,LV,HV,16-Jan,por,5806,1.000
5571,C15,LVC,LV_LV,LV,LV,16-Jan,por,5571,1.000
4919,C15,LVC,LV_HV,LV,HV,16-Jan,por,4919,1.000
8676,C15,LVD,LV_LV,LV,LV,16-Jan,por,8676,1.000
4662,C15,LVD,LV_HV,LV,HV,16-Jan,por,4662,1.000
5644,C15,LVE,LV_LV,LV,LV,16-Jan,por,5644,1.000
2,C15,LVE,LV_HV,LV,HV,16-Jan,por,2,1.000
67,C15,LVE,LV_HV,LV,HV,16-Jan,por,67,1.000
6684,C15,MVA,MV_HV,MV,HV,16-Jan,por,6684,1.000
55,C15,MVA,MV_MV,MV,MV,16-Jan,por,55,1.000
6535,C15,MVB,MV_MV,MV,MV,16-Jan,por,6535,1.000
9993,C15,MVB,MV_HV,MV,HV,16-Jan,por,9993,1.000
22,C15,MVC,MV_MV,MV,MV,16-Jan,por,22,1.000
7630,C15,MVC,MV_HV,MV,HV,16-Jan,por,7630,1.000
52,C15,MVC,MV_MV,MV,MV,16-Jan,por,52,1.000
1350,C15,MVD,MV_HV,MV,HV,16-Jan,por,1460,0.925
2845,C15,MVD,MV_MV,MV,MV,16-Jan,por,2845,1.000
3638,C15,MVE,MV_MV,MV,MV,16-Jan,por,3638,1.000
5464,C15,MVE,MV_HV,MV,HV,16-Jan,por,5464,1.000
7893,C15,HVA,HV_HV,HV,HV,15-Jul,por,7893,1.000
8858,C15,HVB,HV_HV,HV,HV,15-Jul,por,8858,1.000
6866,C15,HVC,HV_HV,HV,HV,15-Jul,por,6866,1.000
5676,C15,HVD,HV_HV,HV,HV,15-Jul,por,5676,1.000
5988,C15,HVE,HV_HV,HV,HV,15-Jul,por,5988,1.000
5625,C15,LVA,LV_LV,LV,LV,15-Jul,por,5625,1.000
3779,C15,LVB,LV_LV,LV,LV,15-Jul,por,3779,1.000
3471,C15,LVC,LV_LV,LV,LV,15-Jul,por,3471,1.000
10761,C15,LVD,LV_LV,LV,LV,15-Jul,por,10761,1.000
7505,C15,LVE,LV_LV,LV,LV,15-Jul,por,7505,1.000
4187,C15,MVA,MV_MV,MV,MV,15-Jul,por,4187,1.000
6128,C15,MVB,MV_MV,MV,MV,15-Jul,por,6128,1.000
3293,C15,MVC,MV_MV,MV,MV,15-Jul,por,3557,0.926
4014,C15,MVD,MV_MV,MV,MV,15-Jul,por,4014,1.000
5290,C15,MVE,MV_MV,MV,MV,15-Jul,por,5290,1.000
30,C15,HVL,HV_HV,HV,HV,16-Jul,por,30,1.000
23,C15,HVM,HV_HV,HV,HV,16-Jul,por,23,1.000
27,C15,HVN,HV_HV,HV,HV,16-Jul,por,27,1.000
10,C15,HVO,HV_HV,HV,HV,16-Jul,por,10,1.000
21,C15,LVK,LV_LV,LV,LV,16-Jul,por,21,1.000
26,C15,LVL,LV_LV,LV,LV,16-Jul,por,26,1.000
35,C15,LVN,LV_LV,LV,LV,16-Jul,por,35,1.000
32,C15,LVO,LV_LV,LV,LV,16-Jul,por,32,1.000
29,C15,MVE,MV_MV,MV,MV,16-Jul,por,29,1.000
52,C15,MVK,MV_MV,MV,MV,16-Jul,por,52,1.000
70,C15,MVL,MV_MV,MV,MV,16-Jul,por,70,1.000
58,C15,MVM,MV_MV,MV,MV,16-Jul,por,58,1.000
21,C15,MVN,MV_MV,MV,MV,16-Jul,por,21,1.000
0,C40,HVA,HV_HV,HV,HV,16-Jan,por,5006,0.000
0,C40,HVB,HV_HV,HV,HV,16-Jan,por,4197,0.000
0,C40,HVC,HV_HV,HV,HV,16-Jan,por,3420,0.000
0,C40,HVD,HV_HV,HV,HV,16-Jan,por,6461,0.000
0,C40,HVE,HV_HV,HV,HV,16-Jan,por,3410,0.000
0,C40,LVA,LV_LV,LV,LV,16-Jan,por,6026,0.000
0,C40,LVA,LV_HV,LV,HV,16-Jan,por,6749,0.000
0,C40,LVB,LV_LV,LV,LV,16-Jan,por,5034,0.000
0,C40,LVB,LV_HV,LV,HV,16-Jan,por,5806,0.000
0,C40,LVC,LV_LV,LV,LV,16-Jan,por,5571,0.000
0,C40,LVC,LV_HV,LV,HV,16-Jan,por,4919,0.000
0,C40,LVD,LV_LV,LV,LV,16-Jan,por,8676,0.000
0,C40,LVD,LV_HV,LV,HV,16-Jan,por,4662,0.000
0,C40,LVE,LV_LV,LV,LV,16-Jan,por,5644,0.000
0,C40,LVE,LV_HV,LV,HV,16-Jan,por,2,0.000
0,C40,LVE,LV_HV,LV,HV,16-Jan,por,67,0.000
0,C40,MVA,MV_HV,MV,HV,16-Jan,por,6684,0.000
0,C40,MVA,MV_MV,MV,MV,16-Jan,por,55,0.000
0,C40,MVB,MV_MV,MV,MV,16-Jan,por,6535,0.000
0,C40,MVB,MV_HV,MV,HV,16-Jan,por,9993,0.000
0,C40,MVC,MV_MV,MV,MV,16-Jan,por,22,0.000
0,C40,MVC,MV_HV,MV,HV,16-Jan,por,7630,0.000
0,C40,MVC,MV_MV,MV,MV,16-Jan,por,52,0.000
110,C40,MVD,MV_HV,MV,HV,16-Jan,por,1460,0.075
0,C40,MVD,MV_MV,MV,MV,16-Jan,por,2845,0.000
0,C40,MVE,MV_MV,MV,MV,16-Jan,por,3638,0.000
0,C40,MVE,MV_HV,MV,HV,16-Jan,por,5464,0.000
0,C40,HVA,HV_HV,HV,HV,15-Jul,por,7893,0.000
0,C40,HVB,HV_HV,HV,HV,15-Jul,por,8858,0.000
0,C40,HVC,HV_HV,HV,HV,15-Jul,por,6866,0.000
0,C40,HVD,HV_HV,HV,HV,15-Jul,por,5676,0.000
0,C40,HVE,HV_HV,HV,HV,15-Jul,por,5988,0.000
0,C40,LVA,LV_LV,LV,LV,15-Jul,por,5625,0.000
0,C40,LVB,LV_LV,LV,LV,15-Jul,por,3779,0.000
0,C40,LVC,LV_LV,LV,LV,15-Jul,por,3471,0.000
