colony,species,origin_dest,origin,dest,time,sa,grate,pgrate
A,por,HV_HV,HV,HV,16-Jan,16.395,0.215,0.032
B,por,HV_HV,HV,HV,16-Jan,15.33,0.2,0.028
C,por,HV_HV,HV,HV,16-Jan,18.85,0.21,0.029
D,por,HV_HV,HV,HV,16-Jan,12.775,0.105,0.019
E,por,HV_HV,HV,HV,16-Jan,13.835,0.095,0.016
A,por,MV_HV,MV,HV,16-Jan,8.72,0.1,0.017
A,por,MV_MV,MV,MV,16-Jan,10.64,0.125,0.020
B,por,MV_HV,MV,HV,16-Jan,8.61,0.1,0.014
B,por,MV_MV,MV,MV,16-Jan,15.33,0.105,0.016
C,por,MV_HV,MV,HV,16-Jan,5.635,0.04,0.007
C,por,MV_MV,MV,MV,16-Jan,14.49,0.125,0.019
D,por,MV_HV,MV,HV,16-Jan,4.67,0.05,0.008
D,por,MV_MV,MV,MV,16-Jan,4.99,0.04,0.008
E,por,MV_HV,MV,HV,16-Jan,7.12,0.05,0.007
E,por,MV_MV,MV,MV,16-Jan,4.135,0.02,0.003
A,por,LV_HV,LV,HV,16-Jan,2.75,0.045,0.005
A,por,LV_LV,LV,LV,16-Jan,5.735,0.025,0.005
B,por,LV_HV,LV,HV,16-Jan,NA,NA,NA
B,por,LV_LV,LV,LV,16-Jan,7.44,0.085,0.011
C,por,LV_HV,LV,HV,16-Jan,2.31,0.04,0.005
C,por,LV_LV,LV,LV,16-Jan,9.775,0.12,0.016
D,por,LV_HV,LV,HV,16-Jan,12.98,0.115,0.016
D,por,LV_LV,LV,LV,16-Jan,18,0.17,0.022
E,por,LV_HV,LV,HV,16-Jan,18.53,0.15,0.016
E,por,LV_LV,LV,LV,16-Jan,19.915,0.13,0.017
A,por,HV_HV,HV,HV,16-Jul,30.15,0.435,0.065
B,por,HV_HV,HV,HV,16-Jul,25.565,0.295,0.055
C,por,HV_HV,HV,HV,16-Jul,31.645,0.36,0.053
D,por,HV_HV,HV,HV,16-Jul,19.7,0.14,0.027
E,por,HV_HV,HV,HV,16-Jul,19.065,0.13,0.023
A,por,MV_HV,MV,HV,16-Jul,17.57,0.145,0.024
A,por,MV_MV,MV,MV,16-Jul,26.1,0.27,0.043
B,por,MV_HV,MV,HV,16-Jul,15.33,0.155,0.021
B,por,MV_MV,MV,MV,16-Jul,20.77,0.195,0.027
C,por,MV_HV,MV,HV,16-Jul,16.72,0.145,0.028
C,por,MV_MV,MV,MV,16-Jul,32.495,0.305,0.041
D,por,MV_HV,MV,HV,16-Jul,8.72,0.055,0.010
D,por,MV_MV,MV,MV,16-Jul,23.435,0.225,0.036
E,por,MV_HV,MV,HV,16-Jul,NA,NA,NA
E,por,MV_MV,MV,MV,16-Jul,NA,NA,NA
A,por,LV_HV,LV,HV,16-Jul,3.07,0.03,0.004
A,por,LV_LV,LV,LV,16-Jul,20.02,0.14,0.021
B,por,LV_HV,LV,HV,16-Jul,NA,NA,NA
B,por,LV_LV,LV,LV,16-Jul,17.995,0.165,0.023
C,por,LV_HV,LV,HV,16-Jul,1.68,0.02,0.011
C,por,LV_LV,LV,LV,16-Jul,26.53,0.24,0.024
D,por,LV_HV,LV,HV,16-Jul,20.555,0.13,0.020
D,por,LV_LV,LV,LV,16-Jul,30.255,0.22,0.022
E,por,LV_HV,LV,HV,16-Jul,20.02,0.1,0.017
E,por,LV_LV,LV,LV,16-Jul,16.82,0.12,0.025
F,gon,HV_HV,HV,HV,16-Jan,8.4,0.085,
G,gon,HV_HV,HV,HV,16-Jan,9.36,0.095,
H,gon,HV_HV,HV,HV,16-Jan,11.065,0.075,
I,gon,HV_HV,HV,HV,16-Jan,5.41,0.045,
J,gon,HV_HV,HV,HV,16-Jan,6.8,0.07,
F,gon,MV_HV,MV,HV,16-Jan,5.095,0.06,
F,gon,MV_MV,MV,MV,16-Jan,5.735,0.065,
G,gon,MV_HV,MV,HV,16-Jan,4.88,0.035,
G,gon,MV_MV,MV,MV,16-Jan,5.95,0.065,
H,gon,MV_HV,MV,HV,16-Jan,3.92,0.045,
H,gon,MV_MV,MV,MV,16-Jan,6.695,0.075,
I,gon,MV_HV,MV,HV,16-Jan,4.125,0.05,
I,gon,MV_MV,MV,MV,16-Jan,5.31,0.045,
J,gon,MV_HV,MV,HV,16-Jan,4.24,0.045,
J,gon,MV_MV,MV,MV,16-Jan,4.56,0.06,
F,gon,LV_HV,LV,HV,16-Jan,6.265,0.09,
F,gon,LV_LV,LV,LV,16-Jan,NA,NA,
G,gon,LV_HV,LV,HV,16-Jan,5.08,0.06,
G,gon,LV_LV,LV,LV,16-Jan,NA,NA,
H,gon,LV_HV,LV,HV,16-Jan,6.16,0.08,
H,gon,LV_LV,LV,LV,16-Jan,NA,NA,
I,gon,LV_HV,LV,HV,16-Jan,5.945,0.07,
I,gon,LV_LV,LV,LV,16-Jan,NA,NA,
J,gon,LV_HV,LV,HV,16-Jan,5.09,0.055,
J,gon,LV_LV,LV,LV,16-Jan,NA,NA,
F,gon,HV_HV,HV,HV,16-Jul,14.585,0.085,
G,gon,HV_HV,HV,HV,16-Jul,20.555,0.125,
H,gon,HV_HV,HV,HV,16-Jul,16.61,0.08,
I,gon,HV_HV,HV,HV,16-Jul,12.025,0.08,
J,gon,HV_HV,HV,HV,16-Jul,12.345,0.07,
F,gon,MV_HV,MV,HV,16-Jul,14.37,0.095,
F,gon,MV_MV,MV,MV,16-Jul,21.725,0.09,
G,gon,MV_HV,MV,HV,16-Jul,14.05,0.08,
G,gon,MV_MV,MV,MV,16-Jul,33.46,0.175,
H,gon,MV_HV,MV,HV,16-Jul,10.96,0.065,
H,gon,MV_MV,MV,MV,16-Jul,27.695,0.15,
I,gon,MV_HV,MV,HV,16-Jul,7.115,0.045,
