colony,species,origin_dest,origin,dest,time,sa,Hvgrate,nativegrate
F,gon,HV_HV,HV,HV,Jan-16,8.4,0.085,0.085
G,gon,HV_HV,HV,HV,Jan-16,9.36,0.095,0.095
H,gon,HV_HV,HV,HV,Jan-16,11.065,0.075,0.075
I,gon,HV_HV,HV,HV,Jan-16,5.41,0.045,0.045
J,gon,HV_HV,HV,HV,Jan-16,6.8,0.07,0.07
F,gon,MV_HV,MV,HV,Jan-16,5.095,0.06,0.065
G,gon,MV_HV,MV,HV,Jan-16,4.88,0.035,0.065
H,gon,MV_HV,MV,HV,Jan-16,3.92,0.045,0.075
I,gon,MV_HV,MV,HV,Jan-16,4.125,0.05,0.045
J,gon,MV_HV,MV,HV,Jan-16,4.24,0.045,0.06
F,gon,LV_HV,LV,HV,Jan-16,6.265,0.09,NA
G,gon,LV_HV,LV,HV,Jan-16,5.08,0.06,NA
H,gon,LV_HV,LV,HV,Jan-16,6.16,0.08,NA
I,gon,LV_HV,LV,HV,Jan-16,5.945,0.07,NA
J,gon,LV_HV,LV,HV,Jan-16,5.09,0.055,NA
A,por,HV_HV,HV,HV,Jan-16,16.395,0.215,0.215
B,por,HV_HV,HV,HV,Jan-16,15.33,0.2,0.2
C,por,HV_HV,HV,HV,Jan-16,18.85,0.21,0.21
D,por,HV_HV,HV,HV,Jan-16,12.775,0.105,0.105
E,por,HV_HV,HV,HV,Jan-16,13.835,0.095,0.095
A,por,MV_HV,MV,HV,Jan-16,8.72,0.1,0.125
B,por,MV_HV,MV,HV,Jan-16,8.61,0.1,0.105
C,por,MV_HV,MV,HV,Jan-16,5.635,0.04,0.125
D,por,MV_HV,MV,HV,Jan-16,4.67,0.05,0.04
E,por,MV_HV,MV,HV,Jan-16,7.12,0.05,0.02
A,por,LV_HV,LV,HV,Jan-16,2.75,0.045,0.025
B,por,LV_HV,LV,HV,Jan-16,NA,NA,0.085
C,por,LV_HV,LV,HV,Jan-16,2.31,0.04,0.12
D,por,LV_HV,LV,HV,Jan-16,12.98,0.115,0.17
E,por,LV_HV,LV,HV,Jan-16,18.53,0.15,0.13
F,gon,HV_HV,HV,HV,Jul-16,14.585,0.085,0.085
G,gon,HV_HV,HV,HV,Jul-16,20.555,0.125,0.125
H,gon,HV_HV,HV,HV,Jul-16,16.61,0.08,0.08
I,gon,HV_HV,HV,HV,Jul-16,12.025,0.08,0.08
J,gon,HV_HV,HV,HV,Jul-16,12.345,0.07,0.07
F,gon,MV_HV,MV,HV,Jul-16,14.37,0.095,0.09
G,gon,MV_HV,MV,HV,Jul-16,14.05,0.08,0.175
H,gon,MV_HV,MV,HV,Jul-16,10.96,0.065,0.15
I,gon,MV_HV,MV,HV,Jul-16,7.115,0.045,0.11
J,gon,MV_HV,MV,HV,Jul-16,10.535,0.03,0.12
F,gon,LV_HV,LV,HV,Jul-16,13.84,0.115,NA
G,gon,LV_HV,LV,HV,Jul-16,8.505,0.055,0.03
H,gon,LV_HV,LV,HV,Jul-16,14.16,0.085,0.045
I,gon,LV_HV,LV,HV,Jul-16,7.225,0.045,0.075
J,gon,LV_HV,LV,HV,Jul-16,5.305,0.04,0.01
A,por,HV_HV,HV,HV,Jul-16,30.15,0.435,0.435
B,por,HV_HV,HV,HV,Jul-16,25.565,0.295,0.295
C,por,HV_HV,HV,HV,Jul-16,31.645,0.36,0.36
D,por,HV_HV,HV,HV,Jul-16,19.7,0.14,0.14
E,por,HV_HV,HV,HV,Jul-16,19.065,0.13,0.13
A,por,MV_HV,MV,HV,Jul-16,17.57,0.145,0.27
B,por,MV_HV,MV,HV,Jul-16,15.33,0.155,0.195
C,por,MV_HV,MV,HV,Jul-16,16.72,0.145,0.305
D,por,MV_HV,MV,HV,Jul-16,8.72,0.055,0.225
E,por,MV_HV,MV,HV,Jul-16,NA,NA,NA
A,por,LV_HV,LV,HV,Jul-16,3.07,0.03,0.14
B,por,LV_HV,LV,HV,Jul-16,NA,NA,0.165
C,por,LV_HV,LV,HV,Jul-16,1.68,0.02,0.24
D,por,LV_HV,LV,HV,Jul-16,20.555,0.13,0.22
E,por,LV_HV,LV,HV,Jul-16,20.02,0.1,0.12
