site	d	season	n	mean	sd	min	Q1	median	Q3	max	range	avgmin	avgmax	avgrange	avgmean	annualmaxDTR
HV	7/10/15	Winter	41	28.677	0.241	28.357	28.431	28.655	28.903	29.003	0.646	27.44431818	28.45259091	1.008272727	28.02977273	6.484
HV	7/11/15	Winter	96	28.687	0.523	28.06	28.357	28.444	29.034	29.752	1.692			3.965		
HV	7/12/15	Winter	96	28.581	0.447	28.06	28.258	28.426	28.775	29.613	1.553					
HV	7/13/15	Winter	96	28.48	0.186	28.139	28.337	28.407	28.63	28.834	0.695					
HV	7/14/15	Winter	96	28.361	0.152	27.587	28.298	28.416	28.476	28.535	0.948					
HV	7/15/15	Winter	96	28.239	0.35	27.528	28.04	28.298	28.466	28.794	1.266					
HV	7/16/15	Winter	96	28.051	0.359	27.233	27.986	28.189	28.263	28.516	1.283					
HV	7/17/15	Winter	96	28.134	0.62	26.879	27.927	28.179	28.466	29.292	2.413					
HV	7/18/15	Winter	96	28.094	0.33	26.997	28.01	28.199	28.317	28.397	1.4					
HV	7/19/15	Winter	96	28.238	0.191	27.783	28.1	28.238	28.362	28.595	0.812					
HV	7/20/15	Winter	96	28.171	0.41	27.468	27.911	28.1	28.407	28.953	1.485					
HV	7/21/15	Winter	96	28.105	0.12	27.882	28.02	28.1	28.199	28.278	0.396					
HV	7/22/15	Winter	96	28.084	0.082	27.902	28.001	28.1	28.179	28.218	0.316					
HV	7/23/15	Winter	96	27.923	0.116	27.685	27.857	27.892	28.02	28.1	0.415					
HV	7/24/15	Winter	96	27.825	0.136	27.587	27.705	27.794	27.981	28.08	0.493					
HV	7/25/15	Winter	96	27.801	0.146	27.547	27.685	27.724	27.941	28.08	0.533					
HV	7/26/15	Winter	96	27.71	0.165	27.311	27.601	27.705	27.882	27.941	0.63					
HV	7/27/15	Winter	96	27.658	0.186	27.134	27.65	27.705	27.784	27.882	0.748					
HV	7/28/15	Winter	96	27.553	0.21	26.742	27.488	27.587	27.685	27.823	1.081					
HV	7/29/15	Winter	96	27.529	0.232	26.879	27.503	27.587	27.685	27.803	0.924					
HV	7/30/15	Winter	96	27.37	0.349	26.214	27.311	27.429	27.587	27.862	1.648					
HV	7/31/15	Winter	96	27.384	0.22	26.801	27.331	27.488	27.508	27.606	0.805					
HV	8/1/15	Winter	96	27.427	0.439	26.605	27.292	27.488	27.631	28.416	1.811	26.71645161	28.02170968	1.305258065	27.31067742	
HV	8/2/15	Winter	96	27.329	0.116	26.899	27.252	27.311	27.39	27.567	0.668					
HV	8/3/15	Winter	96	27.182	0.335	26.429	26.997	27.292	27.409	27.645	1.216					
HV	8/4/15	Winter	96	27.168	0.228	26.585	27.036	27.213	27.39	27.468	0.883					
HV	8/5/15	Winter	96	27.088	0.371	26.078	26.997	27.134	27.355	27.587	1.509					
HV	8/6/15	Winter	96	27.176	0.177	26.722	27.09	27.114	27.311	27.547	0.825					
HV	8/7/15	Winter	96	27.196	0.12	26.781	27.114	27.193	27.292	27.39	0.609					
HV	8/8/15	Winter	96	27.354	0.288	27.016	27.114	27.193	27.587	28.06	1.044					
HV	8/9/15	Winter	96	27.205	0.109	26.997	27.109	27.193	27.311	27.39	0.393					
HV	8/10/15	Winter	96	27.417	0.364	26.997	27.193	27.292	27.508	28.535	1.538					
HV	8/11/15	Winter	96	27.475	0.359	27.075	27.213	27.321	27.552	28.436	1.361					
HV	8/12/15	Winter	96	27.226	0.134	26.801	27.193	27.252	27.297	27.429	0.628					
HV	8/13/15	Winter	96	27.101	0.215	26.429	26.962	27.114	27.213	27.448	1.019					
HV	8/14/15	Winter	96	26.995	0.35	26.195	26.879	27.095	27.198	27.508	1.313					
HV	8/15/15	Winter	96	27.228	0.377	26.605	26.918	27.153	27.562	27.902	1.297					
HV	8/16/15	Winter	96	27.251	0.323	26.527	27.016	27.282	27.414	27.961	1.434					
HV	8/17/15	Winter	96	27.498	0.329	26.977	27.193	27.419	27.769	28.119	1.142					
HV	8/18/15	Winter	96	27.658	0.601	26.997	27.208	27.409	27.862	29.073	2.076					
HV	8/19/15	Winter	96	27.488	0.316	27.095	27.213	27.39	27.803	28.139	1.044					
HV	8/20/15	Winter	96	27.419	0.502	26.801	26.957	27.242	27.823	28.496	1.695					
HV	8/21/15	Winter	96	27.304	0.442	26.312	27.065	27.252	27.724	28.397	2.085					
HV	8/22/15	Winter	96	27.272	0.268	26.663	27.158	27.292	27.508	27.705	1.042					
HV	8/23/15	Winter	96	27.302	0.208	26.977	27.114	27.292	27.409	27.842	0.865					
HV	8/24/15	Winter	96	27.427	0.262	27.095	27.193	27.38	27.626	28.238	1.143					
HV	8/25/15	Winter	96	27.69	0.342	27.292	27.409	27.665	27.867	28.694	1.402					
HV	8/26/15	Winter	96	27.56	0.286	27.016	27.39	27.488	27.774	28.218	1.202					
HV	8/27/15	Winter	96	27.683	0.658	26.82	27.292	27.399	27.867	29.352	2.532					
HV	8/28/15	Winter	96	27.543	0.622	26.605	27.208	27.39	27.705	29.172	2.567					
HV	8/29/15	Winter	96	27.218	0.493	26.41	26.879	27.203	27.508	28.218	1.808					
HV	8/30/15	Winter	96	26.929	0.298	26.312	26.703	26.938	27.08	27.508	1.196					
HV	8/31/15	Winter	96	26.822	0.322	26.097	26.61	26.918	27.095	27.213	1.116					
HV	9/1/15	Winter	96	27.15	0.228	26.605	26.997	27.134	27.35	27.508	0.903	26.86736667	28.71306667	1.8457	27.5979	
HV	9/2/15	Winter	96	27.262	0.474	26.507	26.997	27.095	27.532	28.416	1.909					
HV	9/3/15	Winter	96	27.303	0.296	26.644	27.031	27.331	27.592	27.842	1.198					
HV	9/4/15	Winter	96	27.342	0.299	26.703	27.129	27.302	27.606	27.842	1.139					
HV	9/5/15	Winter	96	27.297	0.516	26.292	26.879	27.203	27.724	28.258	1.966					
HV	9/6/15	Winter	96	27.223	0.866	25.941	26.541	26.909	28.045	28.893	2.952					
HV	9/7/15	Winter	96	27.449	0.791	26.234	26.899	27.203	27.951	29.532	3.298					
HV	9/8/15	Winter	96	27.865	0.892	27.016	27.134	27.409	28.575	29.893	2.877					
HV	9/9/15	Winter	96	26.947	0.168	26.527	26.815	27.016	27.095	27.193	0.666					
HV	9/10/15	Winter	96	26.955	0.191	26.507	26.801	26.938	27.114	27.292	0.785					
HV	9/11/15	Winter	96	27.061	0.134	26.801	26.977	27.016	27.193	27.311	0.51					
HV	9/12/15	Winter	96	27.255	0.515	26.624	26.899	27.095	27.557	28.496	1.872					
HV	9/13/15	Winter	96	26.98	0.321	26.39	26.801	26.997	27.193	27.547	1.157					
HV	9/14/15	Winter	96	27.046	0.224	26.722	26.854	26.997	27.198	27.606	0.884					
HV	9/15/15	Winter	96	27.135	0.42	26.703	26.82	26.977	27.331	28.238	1.535					
HV	9/16/15	Winter	96	26.959	0.205	26.546	26.786	27.006	27.114	27.213	0.667					
HV	9/17/15	Winter	96	27.154	0.12	26.899	27.075	27.193	27.252	27.311	0.412					
HV	9/18/15	Winter	96	27.269	0.15	26.899	27.173	27.213	27.409	27.567	0.668					
HV	9/19/15	Winter	96	27.431	0.323	26.742	27.213	27.35	27.69	28.08	1.338					
HV	9/20/15	Winter	96	27.535	0.321	26.801	27.311	27.478	27.769	28.139	1.338					
HV	9/21/15	Winter	96	27.84	0.527	26.977	27.39	27.744	28.347	28.655	1.678					
HV	9/22/15	Winter	96	28.112	0.558	27.272	27.705	27.991	28.387	29.732	2.46					
HV	9/23/15	Winter	96	28.656	0.927	27.488	27.784	28.585	29.317	30.679	3.191					
HV	9/24/15	Winter	96	28.468	0.782	27.587	27.897	28.119	28.958	30.255	2.668					
HV	9/25/15	Winter	96	28.322	0.597	27.606	27.872	28.14	28.645	29.772	2.166					
HV	9/26/15	Winter	96	28.621	1.034	27.587	27.882	28.278	29.212	31.268	3.681					
HV	9/27/15	Winter	96	28.486	0.914	27.547	27.823	28.09	28.769	30.497	2.95					
HV	9/28/15	Winter	96	28.668	1.139	27.488	27.902	28.278	29.048	31.533	4.045					
HV	9/29/15	Winter	96	28.085	0.506	27.173	27.719	28.02	28.402	29.252	2.079					
HV	9/30/15	Winter	96	28.061	0.648	27.193	27.68	27.872	28.506	29.572	2.379					
HV	10/1/15	Winter	96	27.613	0.55	26.605	27.385	27.498	27.926	28.834	2.229	27.04148387	28.69803226	1.656548387	27.67780645	
HV	10/2/15	Winter	96	27.287	0.445	26.312	27.016	27.39	27.71	27.823	1.511					
HV	10/3/15	Winter	96	27.355	0.223	26.801	27.213	27.39	27.532	27.764	0.963					
HV	10/4/15	Winter	96	27.463	0.193	27.016	27.37	27.409	27.606	27.921	0.905					
HV	10/5/15	Winter	96	27.487	0.153	27.232	27.39	27.419	27.606	27.902	0.67					
HV	10/6/15	Winter	96	27.546	0.202	27.252	27.39	27.488	27.705	28.001	0.749					
HV	10/7/15	Winter	96	27.233	0.152	26.82	27.114	27.292	27.35	27.448	0.628					
HV	10/8/15	Winter	96	27.309	0.114	27.075	27.213	27.292	27.409	27.508	0.433					
HV	10/9/15	Winter	96	27.369	0.13	27.193	27.232	27.37	27.508	27.587	0.394					
HV	10/10/15	Winter	96	27.832	0.477	27.311	27.488	27.685	28.006	29.073	1.762					
HV	10/11/15	Winter	96	27.735	0.274	27.429	27.503	27.675	27.931	28.436	1.007					
HV	10/12/15	Winter	96	27.95	0.349	27.429	27.626	27.961	28.169	28.575	1.146					
HV	10/13/15	Winter	96	28.031	0.324	27.587	27.803	28.011	28.105	29.172	1.585					
HV	10/14/15	Winter	96	28.042	0.326	27.606	27.818	27.931	28.179	28.913	1.307					
HV	10/15/15	Winter	96	27.851	0.169	27.508	27.739	27.823	27.951	28.159	0.651					
HV	10/16/15	Summer	96	27.625	0.143	27.272	27.508	27.606	27.744	27.842	0.57					
HV	10/17/15	Summer	96	27.652	0.235	27.35	27.488	27.606	27.789	28.357	1.007					
HV	10/18/15	Summer	96	27.794	0.368	27.213	27.508	27.655	28.006	28.873	1.66					
HV	10/19/15	Summer	96	27.795	0.321	27.311	27.547	27.715	28.085	28.456	1.145					
HV	10/20/15	Summer	96	27.794	0.466	27.193	27.409	27.606	28.189	28.873	1.68					
HV	10/21/15	Summer	96	27.712	0.525	26.899	27.306	27.478	28.164	28.834	1.935					
HV	10/22/15	Summer	96	27.688	0.592	26.84	27.247	27.409	28.154	28.794	1.954					
HV	10/23/15	Summer	96	27.363	0.454	26.801	27.016	27.174	27.645	28.516	1.715					
HV	10/24/15	Summer	96	27.645	0.592	26.683	27.292	27.419	27.907	29.013	2.33					
HV	10/25/15	Summer	96	27.895	1.069	26.624	27.272	27.567	28.021	30.639	4.015					
HV	10/26/15	Summer	96	27.768	0.665	26.82	27.345	27.587	28.026	29.412	2.592					
HV	10/27/15	Summer	96	28.102	1.151	26.918	27.213	27.666	28.625	30.922	4.004					
