year, month, day,    SST,   SSTA,     HS,    DHW, BAA
2000, 1, 1,  29.24,   0.60,   0.34,   0.00,   1
2000, 1, 2,  29.49,   0.84,   0.59,   0.00,   1
2000, 1, 3,  29.44,   0.79,   0.54,   0.00,   1
2000, 1, 4,  29.27,   0.61,   0.37,   0.00,   1
2000, 1, 5,  28.82,   0.15,  -0.08,   0.00,   0
2000, 1, 6,  28.74,   0.07,  -0.16,   0.00,   0
2000, 1, 7,  28.96,   0.28,   0.06,   0.00,   1
2000, 1, 8,  29.15,   0.47,   0.25,   0.00,   1
2000, 1, 9,  29.21,   0.52,   0.31,   0.00,   1
2000, 1,10,  29.20,   0.50,   0.30,   0.00,   1
2000, 1,11,  29.38,   0.68,   0.48,   0.00,   1
2000, 1,12,  29.25,   0.54,   0.35,   0.00,   1
2000, 1,13,  29.18,   0.46,   0.28,   0.00,   1
2000, 1,14,  29.12,   0.40,   0.22,   0.00,   1
2000, 1,15,  29.07,   0.34,   0.17,   0.00,   1
2000, 1,16,  29.12,   0.38,   0.22,   0.00,   1
2000, 1,17,  29.20,   0.46,   0.30,   0.00,   1
2000, 1,18,  29.22,   0.47,   0.32,   0.00,   1
2000, 1,19,  29.18,   0.43,   0.28,   0.00,   1
2000, 1,20,  29.13,   0.37,   0.23,   0.00,   1
2000, 1,21,  29.07,   0.31,   0.17,   0.00,   1
2000, 1,22,  29.00,   0.23,   0.10,   0.00,   1
2000, 1,23,  29.10,   0.33,   0.20,   0.00,   1
2000, 1,24,  29.04,   0.26,   0.14,   0.00,   1
2000, 1,25,  29.05,   0.27,   0.15,   0.00,   1
2000, 1,26,  28.95,   0.16,   0.05,   0.00,   1
2000, 1,27,  28.98,   0.18,   0.08,   0.00,   1
2000, 1,28,  28.85,   0.05,  -0.05,   0.00,   0
2000, 1,29,  29.16,   0.35,   0.26,   0.00,   1
2000, 1,30,  29.13,   0.32,   0.23,   0.00,   1
2000, 1,31,  29.10,   0.28,   0.20,   0.00,   1
2000, 2, 1,  29.26,   0.44,   0.36,   0.00,   1
2000, 2, 2,  29.36,   0.53,   0.46,   0.00,   1
2000, 2, 3,  29.53,   0.70,   0.63,   0.00,   1
2000, 2, 4,  29.43,   0.59,   0.53,   0.00,   1
2000, 2, 5,  29.23,   0.38,   0.33,   0.00,   1
2000, 2, 6,  29.06,   0.21,   0.16,   0.00,   1
2000, 2, 7,  29.13,   0.27,   0.23,   0.00,   1
2000, 2, 8,  29.23,   0.37,   0.33,   0.00,   1
2000, 2, 9,  29.28,   0.41,   0.38,   0.00,   1
2000, 2,10,  28.91,   0.04,   0.01,   0.00,   1
2000, 2,11,  28.96,   0.08,   0.06,   0.00,   1
2000, 2,12,  29.05,   0.17,   0.15,   0.00,   1
2000, 2,13,  29.07,   0.18,   0.17,   0.00,   1
2000, 2,14,  29.11,   0.22,   0.21,   0.00,   1
2000, 2,15,  29.27,   0.37,   0.37,   0.00,   1
2000, 2,16,  29.19,   0.29,   0.29,   0.00,   1
2000, 2,17,  29.24,   0.34,   0.34,   0.00,   1
2000, 2,18,  29.23,   0.34,   0.33,   0.00,   1
2000, 2,19,  29.28,   0.39,   0.38,   0.00,   1
2000, 2,20,  29.27,   0.38,   0.37,   0.00,   1
2000, 2,21,  29.29,   0.40,   0.39,   0.00,   1
2000, 2,22,  29.44,   0.55,   0.54,   0.00,   1
2000, 2,23,  29.26,   0.37,   0.36,   0.00,   1
2000, 2,24,  29.08,   0.20,   0.18,   0.00,   1
2000, 2,25,  28.89,   0.01,  -0.01,   0.00,   0
2000, 2,26,  28.88,  -0.00,  -0.02,   0.00,   0
2000, 2,27,  28.71,  -0.17,  -0.19,   0.00,   0
2000, 2,28,  29.05,   0.17,   0.15,   0.00,   1
2000, 2,29,  29.14,   0.26,   0.24,   0.00,   1
2000, 3, 1,  29.34,   0.47,   0.44,   0.00,   1
2000, 3, 2,  29.44,   0.57,   0.54,   0.00,   1
2000, 3, 3,  29.34,   0.47,   0.44,   0.00,   1
2000, 3, 4,  29.29,   0.42,   0.39,   0.00,   1
