QueryID	SubjectID	GenBankID	%match	AlignmentLength	Mismatch	GapOpenings	Evalue	Bitscore
HVA-COI	lcl|AB907073.1_cds_BAO94391.1_1	Porites cf. lichen YFK-2014 mitochondrial COX1 gene for cytochrome c oxidase subunit I	99.7	675	2	0	0	1236
HVA-COI	lcl|AY451374.1_cds_AAS17049.1_1	Porites astreoides isolate P634 cytochrome oxidase subunit I (COI) gene	99.39	657	4	0	0	1192
HVA-COI	lcl|AY451375.1_cds_AAS17050.1_1	Porites astreoides isolate P919 cytochrome oxidase subunit I (COI) gene	99.39	657	4	0	0	1192
HVA-COI	lcl|AY451376.1_cds_AAS17051.1_1	Porites astreoides isolate P951 cytochrome oxidase subunit I (COI) gene	99.39	657	4	0	0	1192
HVA-COI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVA-COI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVA-COI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVA-COI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	650	2	0	0	1190
HVA-COI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVA-COI	lcl|KF271417.1_cds_AHL24667.1_1	Porites lutea isolate Y-3 cytochrome oxidase subunit 1 (COX1) gene	100	635	0	0	0	1173
HVA-PCR	lcl|KY502374.1_cds_AST35983.1_1	"Porites lobata isolate M3PL2 12S ribosomal RNA gene, partial sequence; and cytochrome oxidase subunit 3 (COX3) gene"	98.59	142	2	0	1.00E-67	252
HVA-PCR	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
HVA-PCR	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
HVA-PCR	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
HVA-PCR	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
HVA-PCR	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
HVB-COI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
HVB-COI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
HVB-COI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVB-COI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVB-COI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
HVB-PCr	lcl|KY502374.1_cds_AST35983.1_1		94.37	142	1	7	2.00E-55	211
HVB-PCr	lcl|KY502376.1_cds_AST35985.1_1		94.37	142	1	7	2.00E-55	211
HVB-PCr	lcl|KY502373.1_cds_AST35982.1_1		94.33	141	1	7	8.00E-55	209
HVB-PCr	lcl|KY502375.1_cds_AST35984.1_1		94.33	141	1	7	8.00E-55	209
HVB-PCr	lcl|KY502371.1_cds_AST35980.1_1		93.66	142	2	7	1.00E-53	206
HVB-PCr	lcl|KY502372.1_cds_AST35981.1_1		92.96	142	3	7	5.00E-52	200
HVC-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.56	678	3	0	0	1236
HVC-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.85	653	1	0	0	1201
HVC-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.54	657	3	0	0	1197
HVC-ZCOI	lcl|KF271428.1_cds_AHL24678.1_1		100	635	0	0	0	1173
HVC-ZCOI	lcl|FJ423967.1_cds_ACN97561.1_1		100	635	0	0	0	1173
HVD-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
HVD-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
HVD-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
HVD-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
HVD-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
HVD-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
HVD-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
HVD-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
HVD-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
